"region_full","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Van. Isl. Main. Inl.","WCVI-Ocean-Fall (south)","CK24","Chinook",4,"Threatened",93,-7,60753,2018,"Not at risk"
"Van. Isl. Main. Inl.","WCVI-Ocean-Fall (Nootka & Kyuquot)","CK25","Chinook",4,"Threatened",132,8,20854,2018,"Not at risk"
"Van. Isl. Main. Inl.","WCVI-Ocean, Fall (WVI + WQCI)","CK26","Chinook",4,"Data Deficient",-44,-17,723,2018,"Special concern"
"Van. Isl. Main. Inl.","Southern Mainland-Ocean-Summer","CK27","Chinook",5,"Data Deficient",NA,NA,NA,NA,NA
"Van. Isl. Main. Inl.","Southern Mainland-Stream-Summer","CK28","Chinook",5,"Data Deficient",NA,NA,NA,NA,NA
"Fraser","Upper Adams-Stream-Summer","CK29","Chinook",5,"Not assessed",-36,-5,101,2018,"Endangered"
"Fraser","Lower Fraser-Stream-Spring","CK3","Chinook",5,"Special Concern",-77,-1,144,2018,"Endangered"
"Haida Gwaii","North-Ocean/Stream-Summer","CK30","Chinook",6,"Not assessed",204,287,7500,2006,"Not at risk"
"Haida Gwaii","East-Ocean-Fall","CK31","Chinook",6,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Smith Inlet-Ocean-Summer","CK32","Chinook",4,"Not assessed",-11,-33,391,2011,"Threatened"
"Central Coast","Rivers Inlet-Stream-Summer","CK33","Chinook",5,"Not assessed",-82,6,485,2017,"Endangered"
"Central Coast","Wannock","CK34","Chinook",5,"Not assessed",38,17,5970,2017,"Not at risk"
"Central Coast","Bella Coola/Bentinck-Ocean-Summer","CK35","Chinook",5,"Not assessed",31,-19,10934,2017,"Not at risk"
"Central Coast","Dean River-Stream-Summer","CK36","Chinook",5,"Not assessed",-49,-6,730,2017,"Threatened"
"Central Coast","NCC late-Ocean/Stream- Summer","CK37","Chinook",5,"Not assessed",-72,42,1922,2020,"Endangered"
"Central Coast","NCC early-Ocean-Spring","CK38","Chinook",5,"Not assessed",-26,-10,900,2017,"Threatened"
"Fraser","Lower Fraser-Stream-Summer (Pitt)","CK4","Chinook",5,"Endangered",-58,-62,175,2018,"Threatened"
"Skeena","Skeena Estuary-Stream-Summer","CK40","Chinook",6,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","Ecstall","CK41","Chinook",6,"Not assessed",-70,-57,1311,2001,"Endangered"
"Skeena","Lower Skeena-Stream-Summer","CK42","Chinook",6,"Not assessed",-81,-20,606,2013,"Endangered"
"Skeena","Kalum-Early","CK43","Chinook",6,"Not assessed",-5,-2,507,2011,"Threatened"
"Skeena","Kalum-Early","CK44","Chinook",6,"Not assessed",-73,4,5231,2017,"Endangered"
"Skeena","Bulkley-Stream-Spring","CK45","Chinook",6,"Not assessed",133,255,1138,2006,"Not at risk"
"Skeena","Middle Skeena-Lakes-Stream-Summer","CK46","Chinook",6,"Not assessed",-34,-2,7673,2017,"Special concern"
"Skeena","Middle Skeena-M/S-Tribs","CK47","Chinook",6,"Not assessed",-78,49,3886,2017,"Endangered"
"Skeena","Upper Skeena-Stream-Spring","CK48","Chinook",6,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Nass","Lower Nass River-Stream-Summer","CK49","Chinook",5,"Not assessed",-68,0,565,2017,"Threatened"
"Fraser","Lower Fraser-Stream-Summer (Lillooet) ","CK5","Chinook",5,"Threatened",157,157,724,2018,"Not at risk"
"Nass","Upper Nass-Stream-Summer","CK50","Chinook",5,"Not assessed",-70,-29,4419,2017,"Endangered"
"Fraser","Lower Fraser-Ocean-Summer","CK6","Chinook",4,"Endangered",-75,39,71,2017,"Endangered"
"Yukon","Yukon/Teslin-Stream Summer","CK60","Chinook",6,"Not assessed",-59,-59,1557,2022,"Threatened"
"Yukon","Big Salmon-Stream-Summer","CK61","Chinook",6,"Not assessed",-5,-49,2395,2022,"Not at risk"
"Yukon","Nordenskiold-Stream-Summer","CK62","Chinook",6,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Yukon","Mid-Yukon-Stream-Summer","CK63","Chinook",6,"Not assessed",297,4,5988,2022,"Not at risk"
"Yukon","Pelly-Stream-Summer","CK64","Chinook",6,"Not assessed",-46,-61,1197,2022,"Special concern"
"Yukon","White-Stream-Summer","CK65","Chinook",6,"Not assessed",-48,-67,240,2022,"Endangered"
"Yukon","N Yukon-Stream-Summer","CK66","Chinook",6,"Not assessed",-59,-55,958,2022,"Threatened"
"Yukon","Porcupine-Stream-Summer","CK67","Chinook",6,"Not assessed",-100,-100,349,2022,"Endangered"
"Yukon","Old Crow-Stream-Summer","CK68","Chinook",6,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Columbia","Okanagan-Ocean-Fall","CK69","Chinook",4,"Endangered",241,64,112,2015,"Not at risk"
"Fraser","Middle Fraser-Stream-Spring (FR Canyon)","CK7","Chinook",5,"Endangered",-75,-75,11,2018,"Endangered"
"Fraser","Middle Fraser-Stream-Fall (Portage)","CK8","Chinook",5,"Endangered",-85,-81,35,2018,"Endangered"
"Fraser","Middle Fraser-Stream-Spring","CK9","Chinook",5,"Threatened",-33,12,2093,2018,"Special concern"
"Fraser","Lower Fraser","CM01","Chum",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Georgia Strait Mainland","CM02","Chum",4,"Not assessed",31,16,546314,2018,"Not at risk"
"Van. Isl. Main. Inl.","Howe Sound-Burrand Inlet","CM03","Chum",4,"Not assessed",-47,47,118258,2018,"Special concern"
"Van. Isl. Main. Inl.","East VI - Georgia Strait","CM04","Chum",4,"Not assessed",31,16,546314,2018,"Not at risk"
"Van. Isl. Main. Inl.","Southern Coastal Streams","CM05","Chum",4,"Not assessed",1033,-47,1750,2018,"Not at risk"
"Van. Isl. Main. Inl.","Loughborough Inlet","CM06","Chum",4,"Not assessed",-63,-13,9570,2018,"Threatened"
"Van. Isl. Main. Inl.","Bute Inlet","CM07","Chum",4,"Not assessed",648,18,24101,2018,"Not at risk"
"Van. Isl. Main. Inl.","Upper Knight Inlet","CM08","Chum",4,"Not assessed",2092,-52,7579,2003,"Not at risk"
"Van. Isl. Main. Inl.","Northeast VI","CM09","Chum",4,"Not assessed",-76,-17,462,2018,"Endangered"
"Van. Isl. Main. Inl.","West Vancouver Island","CM10","Chum",4,"Not assessed",89,5,546314,2018,"Not at risk"
"Van. Isl. Main. Inl.","Northwest VI","CM11","Chum",4,"Not assessed",69,12,57862,2015,"Not at risk"
"Haida Gwaii","West","CM12","Chum",5,"Not assessed",-55,-11,42767,2021,"Threatened"
"Haida Gwaii","North","CM13","Chum",5,"Not assessed",-53,-38,22203,2019,"Threatened"
"Haida Gwaii","Stanley Creek","CM14","Chum",5,"Not assessed",-85,-15,300,2010,"Endangered"
"Haida Gwaii","East","CM15","Chum",5,"Not assessed",-50,-18,19526,2021,"Threatened"
"Central Coast","Rivers Inlet","CM16","Chum",4,"Not assessed",-52,-9,10805,2021,"Threatened"
"Central Coast","Smith Inlet","CM17","Chum",4,"Not assessed",-76,-13,3305,2021,"Endangered"
"Central Coast","Wannock River","CM18","Chum",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Bella Coola/Dean ","CM19","Chum",4,"Not assessed",22,8,126853,2021,"Not at risk"
"Central Coast","Bella Coola-Late","CM20","Chum",4,"Not assessed",85,-4,10262,2021,"Not at risk"
"Central Coast","Hecate Strait Mainland","CM21","Chum",4,"Not assessed",-77,-14,45282,2021,"Endangered"
"Central Coast","Spiller-Fitzhugh-Burke","CM22","Chum",4,"Not assessed",-78,-11,70091,2021,"Endangered"
"Central Coast","Mussel-Kynoch","CM23","Chum",4,"Not assessed",-88,-10,45184,2021,"Endangered"
"Central Coast","Northern Coastal Streams","CM24","Chum",4,"Not assessed",-61,-2,45379,2021,"Threatened"
"Skeena","Lower Skeena","CM26","Chum",4,"Not assessed",-83,-20,1327,2017,"Endangered"
"Nass","Portland Canal","CM28","Chum",4,"Not assessed",-34,-12,4720,2016,"Special concern"
"Nass","Lower Nass ","CM29","Chum",4,"Not assessed",-23,-35,21951,2016,"Not at risk"
"Nass","Portland Canal/Observatory Inlet","CM30","Chum",4,"Not assessed",95,-10,22780,2017,"Not at risk"
"Yukon","Yukon/Teslin ","CM38","Chum",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Yukon","Mid-Yukon ","CM39","Chum",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Yukon","Pelly /Stewart","CM40","Chum",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Yukon","White","CM41","Chum",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
