"region_full","SMU","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Skeena","SKEENA SOCKEYE SALMON","Sicintine","SE174","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA SOCKEYE SALMON","Slamgeesh","SE175","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA SOCKEYE SALMON","Spawning","SE176","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA SOCKEYE SALMON","Sustut","SE177","Sockeye-Lake",5,"Not assessed",211,64,1951,2023,"Not at risk"
"Nass","NASS SOCKEYE SALMON","Bowser","SE178","Sockeye-Lake",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Nass","NASS SOCKEYE SALMON","Damdochax/Wiminasik","SE179","Sockeye-Lake",5,"Not assessed",339,8,11367,2022,"Not at risk"
"Nass","NASS SOCKEYE SALMON","Fred Wright","SE180","Sockeye-Lake",5,"Not assessed",3434,-39,5115,2022,"Not at risk"
"Nass","NASS SOCKEYE SALMON","Kwinageese","SE181","Sockeye-Lake",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Nass","NASS SOCKEYE SALMON","Meziadin","SE182","Sockeye-Lake",5,"Status assessment recommended",16,-6,343765,2022,"Not at risk"
"Nass","NASS SOCKEYE SALMON","Oweegee","SE183","Sockeye-Lake",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Village Bay","T01","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","RIVERS/SMITH SOCKEYE SALMON","Owikeno","T06","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii","HAIDA GWAII SOCKEYE SALMON","Marian","T07","Sockeye-Lake",5,"Not assessed",-91,-20,2000,2021,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Backland","T10","Sockeye-Lake",5,"Not assessed",-84,-61,40,2021,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Dome","T11","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Whalen","T12","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Borrowman","T13","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Busey","T14","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Cartwright Creek","T15","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Chic Chic","T16","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Dallain","T17","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Deer","T18","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Douglas","T19","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Elizabeth","T20","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Evinrude","T21","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Hartley Bay","T22","Sockeye-Lake",5,"Not assessed",-59,2,950,2021,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Hevenor Inlet","T23","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kadjusdis","T24","Sockeye-Lake",5,"Not assessed",1417,-24,10038,2021,"Not at risk"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kenzuwash","T25","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Keswar","T26","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kildidt","T27","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kunsoot","T28","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Lewis","T29","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Lowe/Simpson/Weare","T30","Sockeye-Lake",5,"Not assessed",-97,-19,11000,2021,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Mcdonald","T31","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Mcloughlin","T32","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Monckton Inlet","T33","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Price","T34","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Roderick","T35","Sockeye-Lake",5,"Not assessed",-73,-22,140,2020,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Sheneeza","T36","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Ship Point","T37","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Stannard","T38","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Treneman","T39","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Tuno East","T40","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Tyler","T41","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Watt","T42","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","West Creek","T43","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Yaaklele","T44","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena",NA,"Onerka","T47","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Nass","SKEENA SOCKEYE SALMON","Clements","T48","Sockeye-Lake",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Nass",NA,"Split Mountain/Leverson","T49","Sockeye-Lake",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser",NA,"Adams ES",NA,"Sockeye-Lake",4,"Extinct",NA,NA,NA,NA,NA
