"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites"
922,"Georgia Strait","","","","","PKO-3","Pink",2,"",3,3,5,3,14,"Moderate",78
923,"East Vancouver Island-Johnstone Strait","","","","","PKO-4","Pink",2,"",3,4,5,3,15,"Moderate",12
924,"Nahwitti","","","","","PKO-5","Pink",2,"",5,2,3,3,13,"Moderate",24
925,"West Vancouver Island","","","","","PKO-6","Pink",2,"",0,0,0,0,0,"None",67
926,"Southern Fjords","","","","","PKO-7","Pink",2,"",3,1,2,3,9,"None",48
171,"Alastair","","","","","SEL-20-01","Sockeye-Lake",6,"",1,4,5,5,15,"None",4
172,"Aldrich","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
173,"Dennis","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
174,"Ecstall/Lower","","","","","SEL-20-04","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
175,"Johnston","","","","","SEL-20-05","Sockeye-Lake",5,"",0,0,0,0,0,"None",2
176,"Kitsumkalum","","","","","SEL-20-06","Sockeye-Lake",5,"",1,2,2,5,10,"None",8
177,"Lakelse","","","","","SEL-20-07","Sockeye-Lake",5,"",1,5,3,5,14,"High",10
178,"Mcdonell","","","","","SEL-20-08","Sockeye-Lake",5,"",2,5,4,5,16,"None",1
179,"Atna","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
180,"Babine","","","","","SEL-21-02-EW","Sockeye-Lake",5,"",2,5,5,5,17,"None",NA
181,"Bulkley","","","","","SEL-21-03","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
182,"Club Lake","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
183,"Gitanyow","","","","","SEL-21-05","Sockeye-Lake",5,"",3,5,5,5,18,"None",2
184,"Maxan","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
185,"Morice","","","","","SEL-21-07","Sockeye-Lake",6,"",3,4,5,5,17,"None",4
186,"Nilkitkwa","","","","","SEL-21-02-LW","Sockeye-Lake",5,"",3,5,5,5,18,"None",NA
187,"Stephens","","","","","SEL-21-09","Sockeye-Lake",5,"",2,4,5,5,16,"None",9
188,"Swan","","","","","SEL-21-10","Sockeye-Lake",5,"",0,2,3,5,10,"None",NA
189,"Tahlo/Morrison","","","","","SEL-21-02-MW","Sockeye-Lake",5,"",0,4,5,5,14,"None",NA
190,"Asitika","","","","","SEL-22-01","Sockeye-Lake",5,"",0,5,4,5,14,"None",1
191,"Azuklotz","","","","","SEL-22-02","Sockeye-Lake",5,"",2,5,2,5,14,"None",1
192,"Bear","","","","","SEL-22-03","Sockeye-Lake",5,"",1,4,1,5,11,"None",3
193,"Damshilgwit","","","","","SEL-22-04","Sockeye-Lake",5,"",5,5,5,5,20,"None",1
194,"Johanson","","","","","SEL-22-05","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
195,"Kluatantan","","","","","SEL-22-06","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
196,"Kluayaz","","","","","SEL-22-07","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
197,"Motase","","","","","SEL-22-08","Sockeye-Lake",5,"",2,5,1,5,13,"None",1
198,"Sicintine","","","","","SEL-22-09","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
199,"Slamgeesh","","","","","SEL-22-10","Sockeye-Lake",5,"",0,0,0,0,0,"None",2
200,"Spawning","","","","","SEL-22-11","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
201,"Sustut","","","","","SEL-22-12","Sockeye-Lake",5,"",0,0,0,0,0,"None",1
203,"Babine (enhanced)","","","","","SEL-21-02-F","Sockeye-Lake",5,"",5,5,5,5,20,"High",NA
204,"Babine-Pinkut","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
230,"Footsore/Hodder","","","","","SEL-21-12","Sockeye-Lake",5,"",0,0,0,0,0,"None",3
243,"Onerka","","","","",NA,"Sockeye-Lake",5,"",NA,NA,NA,NA,NA,NA,NA
416,"Prudhomme","","","","","SEL-19-49","Sockeye-Lake",5,"",0,0,0,0,0,NA,3
417,"Shawatlan","","","","","SEL-19-54","Sockeye-Lake",5,"",0,0,0,0,0,NA,1
418,"Clements","","","","",NA,"Sockeye-Lake",NA,"",0,0,0,0,0,"None",NA
419,"Leverson","","","","",NA,"Sockeye-Lake",NA,"",0,0,0,0,0,"None",NA
420,"Bowser","","","","",NA,"Sockeye-Lake",NA,"",0,0,0,0,0,"None",NA
