"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites","Region"
324,"East Vancouver Island-Nanaimo and Chemainus_FA_0.x","EVI-fall","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-25","Chinook",3,"Special Concern",3,5,5,0,13,"High",6,"VIMI"
325,"East Vancouver Island-Qualicum and Puntledge_FA_0.x","QP-fall","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-27","Chinook",4,"Special Concern",3,5,5,0,13,"High",16,"VIMI"
326,"Southern Mainland-Southern Fjords_FA_0.x","SC+SFj","CK22","SC+SFj/Ocean/Fall","South Coast - Southern Fjords, Ocean, Fall population","CK-28","Chinook",4,"Data Deficient",3,0,2,0,5,"High",27,"VIMI"
327,"East Vancouver Island-North_FA_0.x","NEVI","CK23","EVI+SFj/Ocean/Fall","East Vancouver Island - North, Ocean, Fall (EVI + SFj) population","CK-29","Chinook",4,"Not at risk",4,5,5,0,14,"High",19,"VIMI"
328,"West Vancouver Island-South_FA_0.x","SWVI","CK24","WVI/Ocean/Fall (South)","West Vancouver Island, Ocean, Fall (South) population","CK-31","Chinook",4,"Threatened",3,0,4,0,7,"High",70,"VIMI"
329,"West Vancouver Island-Nootka and Kyuquot_FA_0.x","NoKy","CK25","WVI/Ocean/Fall (Nootka & Kyuquot)","West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population","CK-32","Chinook",4,"Threatened",3,0,5,0,8,"High",57,"VIMI"
330,"West Vancouver Island-North_FA_0.x","NWVI","CK26","WVI+WHG/Ocean/Fall","West Vancouver Island - North, Ocean, Fall (WVI + WQCI) population","CK-33","Chinook",4,"Data Deficient",3,0,2,0,5,"High",19,"VIMI"
331,"Homathko_SU_x.x","HOMATH","CK27","HK+SFj/Ocean/Summer","Southern Mainland Ocean Summer","CK-34","Chinook",5,"Data Deficient",0,0,0,0,0,"None",2,"VIMI"
332,"Klinaklini_SU_1.3","KLINA","CK28","HK+SFj/Stream/Summer","Southern Mainland Stream Summer","CK-35","Chinook",5,"Data Deficient",0,0,0,0,0,"None",2,"VIMI"
333,"Upper Adams River_SU_x.x","UAdams-summer","CK29","STh+GStr/Stream/Summer","Upper Adams, Stream, Summer","CK-82","Chinook",5,NA,0,0,0,0,0,"None",1,"Fraser"
334,"East Vancouver Island-Georgia Strait_SU_0.3","EVIGStr-sum","CK20","EVI+GStr/Ocean/Summer","East Vancouver Island, Ocean, Summer population","CK-83","Chinook",4,"Endangered",4,5,5,0,14,"High",2,"VIMI"
335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fraser"
401,"Portland Sound-Observatory Inlet-Lower Nass",NA,"CK49","LNR-P","Lower Nass River, Stream, Summer","CK-57","Chinook",5,"Status assessment recommended",1,2,2,5,10,"Low",16,"Nass"
402,"Upper Nass",NA,"CK50","UNR","Upper Nass River, Stream, Summer","CK-58","Chinook",5,"Status assessment recommended",2,5,5,5,17,"None",17,"Nass"
404,"Portland Inlet",NA,"CM28",NA,"Portland Canal","CM-30","Chum",4,NA,1,5,1,3,10,"Low",19,"Nass"
405,"Lower Nass",NA,"CM29",NA,"Lower Nass River","CM-31","Chum",4,NA,0,0,4,3,7,"None",20,"Nass"
406,"Portland Canal-Observatory",NA,"CM30",NA,"Portland Canal - Observatory Inlet","CM-32","Chum",4,NA,0,5,4,3,12,"Low",17,"Nass"
408,"Lower Nass","LNASS","CO29","LNR-P","Lower Nass - Portland Canal","CO-35","Coho",3,NA,1,1,4,3,9,"Low",23,"Nass"
409,"Upper Nass","UNASS","CO30","UNR","Upper Nass","CO-36","Coho",3,NA,2,2,4,3,11,"None",13,"Nass"
410,"Portland Sound-Observatory Inlet-Portland Canal","PORT","CO29","LNR-P","Lower Nass - Portland Canal","CO-37","Coho",3,NA,1,1,2,3,7,"Low",33,"Nass"
412,"Upper Nass",NA,"PO28",NA,"Upper Nass","PKO-18","Pink",NA,NA,0,0,0,0,0,"None",5,"Nass"
414,"Nass-Portland-Observatory",NA,"PO27",NA,"Lower Nass - Portland Canal","PKO-17","Pink",2,NA,1,4,2,3,10,"None",60,"Nass"
